('INTERNALID','ROUTES_161'),
('E08360','65'),
('E08360','93'),
('P01330','52L'),
('P01330','53L'),
('P01330','56'),
('P01330','57'),
('P01330','58'),
('P01340','65'),
('P01340','67'),
('P01340','69'),
('E08185','58'),
('E08185','65'),
('E08185','93'),
('X02010','43'),
('X01870','43'),
('X01880','43'),
('X01900','43'),
('X01890','43'),
('X01905','43'),
('X00078','43'),
('X01920','43'),
('X01930','43'),
('X01935','43'),
('X70054','43'),
('X01945','43'),
('X01960','40'),
('X01960','43'),
('X70077','43'),
('X01995','43'),
('X01970','43'),
('S06620','54'),
('S70162','60'),
('X02350','41'),
('X02340','41'),
('X02360','41'),
('X70016','41'),
('X02040','41'),
('X02050','41'),
('X02060','41'),
('X02080','41'),
('X02090','41'),
('X02130','41'),
('X02150','41'),
('X02160','41'),
('X02670','41'),
('X70015','41'),
('X02170','41'),
('X02180','38'),
('X02180','41'),
('X02190','38'),
('X02190','41'),
('X02230','38'),
('X02230','41'),
('X02240','41'),
('X02270','41'),
('X02280','41'),
('X02290','41'),
('X02300','38'),
('X02300','41'),
('X02310','41'),
('X02320','41'),
('X02335','41'),
('X02220','38'),
('X02220','41'),
('X02370','41'),
('X02375','41'),
('X02380','41'),
('X02390','41'),
('X02430','41'),
('X02440','41'),
('X02520','41'),
('X02530','41'),
('X02540','41'),
('X02560','41'),
('X02570','41'),
('X02580','41'),
('X02590','41'),
('X02610','41'),
('X02620','41'),
('X02630','38'),
('X02630','41'),
('X02330','41'),
('X02640','41'),
('X02650','41'),
('X02660','41'),
('X02680','41'),
('S70342','55'),
('S70344','55'),
('S70359','55'),
('S70343','55'),
('S70360','55'),
('S70361','55'),
('E08450','67'),
('E08450','77'),
('E08510','61B'),
('E70936','61B'),
('E08530','61B'),
('E08550','61B'),
('E08560','61B'),
('E08570','61B'),
('E08580','61B'),
('E70590','59'),
('E70590','61B'),
('E70591','59'),
('E70591','61A'),
('E70591','61B'),
('E08610','59'),
('E70901','61A'),
('E08650','61B'),
('E08690','61B'),
('E08690','71'),
('E08690','P71'),
('E08720','59'),
('E08720','61B'),
('E08740','71'),
('E08740','P71'),
('E70264','59'),
('E70264','68'),
('E70264','69'),
('E70264','P68'),
('E70264','P69'),
('E08840','61B'),
('E08840','71'),
('E08840','P71'),
('E70215','59'),
('E70215','71'),
('E70215','P7'),
('E08890','61B'),
('E08900','61B'),
('E08910','61B'),
('E08910','71'),
('E08910','P71'),
('E08920','61B'),
('E09180','59'),
('E09180','68'),
('E09180','69'),
('E09180','P68'),
('E09180','P69'),
('E70900','61A'),
('E08880','61B'),
('E08970','61B'),
('E08980','61B'),
('E09010','59'),
('E09010','68'),
('E09010','69'),
('E09010','P68'),
('E09010','P69'),
('E09110','61B'),
('E09110','71'),
('E09110','P71'),
('E09290','59'),
('E09290','61A'),
('E09250','61B'),
('E70899','61A'),
('E09330','61B'),
('E09330','71'),
('E09330','P71'),
('E08730','61B'),
('E08741','71'),
('E08741','P71'),
('E09120','59'),
('E09120','68'),
('E09120','P68'),
('E09390','61B'),
('E09390','71'),
('E09390','P71'),
('E09400','61B'),
('E70892','59'),
('E70892','68'),
('E70892','69'),
('E70892','P68'),
('E70892','P69'),
('E70799','59'),
('E70799','61A'),
('E08885','61B'),
('E09550','59'),
('E09550','68'),
('E09550','P68'),
('E09540','59'),
('E09540','68'),
('E09540','P68'),
('E70858','61A'),
('E70858','61B'),
('N10060','18'),
('S70266','51'),
('E09590','54'),
('E70859','54'),
('E09650','54'),
('E09580','54'),
('N10230','16'),
('N10260','16'),
('N10260','17'),
('N10270','16'),
('N10265','16'),
('N10320','16'),
('N10330','16'),
('N10360','13'),
